Questions,Answers
How has the moon played a significant role in keeping track of time during the narrator's imprisonment at Ahmadnagar Fort?,"Chapter One - Ahmadnagar Fort

It is more than twenty months since we were brought here, more than twenty months of my ninth term of imprisonment. The new moon, a shimmering crescent in the darkening sky, greeted us on our arrival here. The bright fortnight of the waxing moon had begun. Ever since then, each coming of the new moon has been a reminder to me that another month of my imprisonment is over. So it was with my last term of imprisonment which began with the new moon, just after the Deepavali, the festival of light. The moon, ever a companion to me in prison, has grown more friendly with closer acquaintance, a reminder of the loveliness of this world, of the waxing and waning of life, of light following darkness, of death and resurrection following each other in interminable succession. Ever-changing, yet ever the same, I have watched it in its different phases and its many moods in the evening, as the shadows lengthen, in the still hours of the night, and when the breath and whisper of dawn bring promise of the coming day. How helpful is the moon in counting the days and the months, for the size and shape of the moon, when it is visible, indicate the day of the month with a fair measure of exactitude."
What was the experience like being cut off from the outside world for three weeks?,"It is an easy calendar (though it must be adjusted from time to time), and for the peasant in the field the most convenient one to indicate the passage of the days and the gradual changing of the seasons. Three weeks we spent here cut off completely from all news of the outside world. There were no contacts of any kind, no interviews, no letters, no newspapers, no radio. Even our presence here was supposed to be a state secret unknown to any except to the officials in charge of us, a poor secret, for all Indian knew where we were."
What kind of communication was allowed for the prisoners in India during the 20 months of their incarceration?,"Then newspapers were allowed and, some weeks later, letters from near relatives dealing with domestic affairs. But no interviews during these 20 months, no other contacts. The newspapers contained heavily censored news, yet they gave us some idea of the war that was consuming more than half the world, and of how it fared with our people in India. Little we knew about these people of ours except that scores of thousands lay in prison or internment camp without trial, that thousands had been shot to death, that tens of thousands had been driven out of schools and colleges, that something indistinguishable from martial law prevailed over the whole country, that terror and frightfulness darkened the land. They were worse off, far worse than us, those scores of thousands in prison, like us, without trial, for there were not only no interviews but also no letters or newspapers for them, and even books were seldom allowed. Many sickened for lack of healthy food, some of our dear ones died for lack of proper care and treatment."
What was the situation like for the Indian prisoners and detainees compared to the prisoners of war from Italy in India during that time?,"There were many thousands of prisoners of war kept in India, mostly from Italy. We compared their lot with the lot of our own people. We were told that they were governed by the Geneva Convention. But there was no convention or law or rule to govern the conditions under which Indian prisoners and detainees had to exist, except such ordinances which it pleased our British rulers to issue from time to time."
What were the devastating effects of the famine in various regions of India during this period?,"Famine came, ghastly, staggering, horrible beyond words. In Malabar, in Bijapur, in Orissa, and, above all, in the rich and fertile province of Bengal, men and women and little children died in their thousands daily for lack of food. They dropped down dead before the palaces of Calcutta, their corpses lay in the mud huts of Bengal's innumerable villages and covered the roads and fields of its rural areas. Men were dying all over the world and killing each other in battle; usually a quick death, often a brave death, death for a cause, death with a purpose, death which seemed in this mad world of ours an inexorable logic of events, a sudden end to the life we could not mould or control. Death was common enough everywhere."
What were the significant challenges faced in India during the wartime period under British rule?,"Corpses cannot easily be overlooked; they come in the way. While the fires of hell were consuming the people of Bengal and elsewhere, we were first told by high authority that owing to wartime prosperity the peasantry in many parts of India had too much to eat. Then it was said that the fault lay with provincial autonomy, and that the British government in India, or the India Office in London, sticklers for constitutional propriety, could not interfere with provincial affairs. That constitution was suspended, violated, ignored, or changed daily by hundreds of decrees and ordinances issued by the Viceroy under his sole and unlimited authority. That constitution meant ultimately the unchecked authoritarian rule of a single individual who was responsible to no one in India, and who had greater power than any dictator anywhere in the world. That constitution was worked by the permanent services, chiefly the Indian Civil Service and the police, who were mainly responsible to the Governor, who was the agent of the Viceroy, and who could well ignore the ministers when such existed. The ministers, good or bad, lived on sufferance and dared not disobey the orders from above or even interfere with the discretion of the services supposed to be subordinate to them."
"How many people suffered and died during the months of horror, and what are the lingering effects on the survivors of that period?","Something was done at last. Some relief was given. But a million had died, or two millions, or three; no one knows how many starved to death or died of disease during those months of horror. No one knows of the many more millions of emaciated boys and girls and little children who just escaped death then, but are stunted and broken in body and spirit. And still the fear of widespread famine and disease hovers over the land."
"How long have you been imprisoned during the war for democracy in Asia, Europe, and Africa, and across the vast stretches of the Pacific, Atlantic, and Indian Oceans?","The war for democracy in Asia, Europe, and Africa, and over the vast stretches of the Pacific, Atlantic, and Indian Oceans, war has raged in all its dreadful aspects. Nearly seven years of war in China, over four and a half years of war in Europe and Africa, and two years and four months of World War. War against fascism and Nazism and attempts to gain world dominion. Of these years of war I have so far spent nearly three years in prison, here and elsewhere in India."
How did the early actions of fascist and Nazi regimes impact attitudes and reactions in India and beyond?,"I remember how I reacted to fascism and Nazism in their early days, and not only I, but many in India. How Japanese aggression in China had moved India deeply and revived the age-old friendship for China; how Italy's rape of Abyssinia had sickened us; how the betrayal of Czechoslovakia had hurt and embittered us; how the fall of Republican Spain, after a struggle full of heroic endurance, had been a tragedy and a personal sorrow for me and others."
What was it about fascism and nazism that had such a profound impact on people?,"It was not merely the physical acts of aggression in which fascism and nazism indulged, not only the vulgarity and brutality that accompanied them, terrible as they were, that affected us, but the principles on which they stood and which they proclaimed so loudly and blatantly, the theories of life on which they tried to fashion themselves; for these went counter to what we believed in the present, and what we had held from ages past."
Why did the community strongly oppose fascism and Nazism?,"And even if our racial memory had forsaken us and we had lost our moorings, our own experiences, even though they came to us in different garb, and somewhat disguised for the sake of decency, were enough to teach us to what these Nazi principles and theories of life and the state ultimately led. For our people had been the victims for long of those very principles and methods of government. So we reacted immediately and intensely against fascism and Nazism."
Why did you decline Signor Mussolini's invitation to meet him in March 1936?,"I remember how I refused a pressing invitation from Signor Mussolini to see him in the early days of March, 1936. Many of Britain's leading statesmen, who spoke harshly of the fascist duce in later years when Italy became a belligerent, referred to him tenderly and admiringly in those days, and praised his regime and methods."
Why did you choose to go to Czechoslovakia instead of staying where you were?,"Where I liked. Again I declined with thanks. Instead, I went to Czechoslovakia, that 'far-away country' about which England's then Prime Minister knew so little. Before Munich I met some of the members of the British Cabinet and other prominent politicians of England, and ventured to express my anti-fascist and anti-Nazi views before them. I found that my views were not welcomed and I was told that there were many other considerations to be borne in mind."
What were your impressions of the Franco-British statesmanship during the Czechoslovak crisis?,"During the Czechoslovak crisis, what I saw of Franco-British statesmanship in Prague and in the Sudetenland, in London and Paris, and in Geneva where the League Assembly was then sitting, amazed and disgusted me. Appeasement seemed to be a feeble word for it. There was behind it not only a fear of Hitler, but a sneaking admiration for him."
What is the irony of people like me being in prison while those who once supported fascism now champion anti-fascism and democracy?,"And now, it is a curious turn of fate's wheel that I, and people like me, should spend our days in prison while we rage against fascism and Nazism is raging, and many of those who used to bow to Hitler and Mussolini, and approve of Japanese aggression in China, should hold aloft the banner of freedom and democracy and anti-fascism."
What types of individuals exist in India who align themselves with the government and constantly seek approval?,"In India the change is equally remarkable. There are those here, as elsewhere, 'governmentarians', who hover round the skirts of government and echo the views which they think will be approved by those whose favour they continually seek. There was a time, not so long ago, when they praised Hitler and Mussolini, and held them up as models, and when they cursed the Soviet Union with bell, book, and candle. Not so now, for the weather has changed. They are high government and state officials, and loudly they proclaim their anti-fascism and anti-nazism and even talk of democracy, though with bated breath, as something desirable but distant. I often wonder what they would have done if events had taken a different turn, and yet there is little reason for conjecture, for they would welcome with garlands and addresses of welcome whoever happened to wield authority."
"What organization in India has consistently been anti-fascist, anti-Nazi, and anti-imperialist, and stood for Republic Spain, Czechoslovakia, and China, but has been declared illegal and prevented from functioning for nearly two years?","That was the attitude of the National Congress, the one great organization in India which consistently for all these years had been anti-fascist and anti-Nazi, as it had been anti-imperialist. It had stood for Republican Spain, for Czechoslovakia, and throughout for China. And now for nearly two years the Congress has been declared illegal—outlawed and prevented from functioning in any way."
What are the consequences of the imprisonment of the congress members and other elected officials on the ongoing war for democracy and the ideals of the Atlantic Charter and Four Freedoms?,"The congress is in prison. Its elected members of the provincial parliaments, its speakers of these parliaments, its ex-ministers, its mayors and presidents of municipal corporations, are in prison. Meanwhile the war goes on for democracy and the Atlantic Charter and the Four Freedoms. Time in prison: the urge to action time seems to change its nature in prison. The present hardly exists, for there is an absence of feeling and sensation which might separate it from the dead past. Even news of the active, living and dying world outside has a certain dream-like unreality, an immobility and an unchangeableness as of the past."
"How does time manifest differently in the inner and subjective realm compared to the outer objective perspective, especially in the context of incarceration?","The outer objective time ceases to be, the inner and subjective sense remains, but at a lower level, except when thought pulls it out of the present and experiences a kind of reality in the past or in the future. We live, as Auguste Comte said, dead men's lives, encased in our pasts, but this is especially so in prison where we try to find some sustenance for our starved and locked-up emotions in memory of the past or fancies of the future."
What is the significance of the past in providing a sense of peace and security amidst present chaos and turmoil?,"There is a stillness and everlastingness about the past; it changes not and has a touch of eternity, like a painted picture or a statue in bronze or marble. Unaffected by the storms and upheavals of the present, it maintains its dignity and repose and tempts the troubled spirit and the tortured mind to seek shelter in its vaulted catacombs. There is peace there and security, and one may even sense a spiritual quality."
